Function,CPU Time: Total,CPU Time: Self,Module,Function (Full),Source File,Start Address
"facebook::velox::functions::aggregate::SumAggregateBase<long, long, long, (bool)0>::updateSingleValue<long>",0.0119986,0.0119986,libBOSSVeloxEngine.so,"facebook::velox::functions::aggregate::SumAggregateBase<long, long, long, (bool)0>::updateSingleValue<long>(long&, long)",SumAggregateBase.h,0x2749320
"facebook::velox::functions::aggregate::SumAggregateBase<long, long, long, (bool)0>::initializeNewGroups",0.0120006,0.0120006,libBOSSVeloxEngine.so,"facebook::velox::functions::aggregate::SumAggregateBase<long, long, long, (bool)0>::initializeNewGroups(char**, folly::Range<int const*>)",Aggregate.h,0x2748760
"facebook::velox::functions::aggregate::SumAggregateBase<double, double, double, (bool)0>::updateSingleValue<double>",0.0119986,0.0119986,libBOSSVeloxEngine.so,"facebook::velox::functions::aggregate::SumAggregateBase<double, double, double, (bool)0>::updateSingleValue<double>(double&, double)",SumAggregateBase.h,0x276ad10
"facebook::velox::functions::aggregate::SimpleNumericAggregate<long, long, long>::updateGroups<(bool)1, long, long, void (*)(long&, long)>",0.030011,0,libBOSSVeloxEngine.so,"facebook::velox::functions::aggregate::SimpleNumericAggregate<long, long, long>::updateGroups<(bool)1, long, long, void (*)(long&, long)>(char**, facebook::velox::SelectivityVector const&, std::shared_ptr<facebook::velox::BaseVector> const&, void (*)(long&, long), bool)",SimpleNumericAggregate.h,0x2748d20
"facebook::velox::functions::aggregate::SimpleNumericAggregate<long, long, long>::updateGroups<(bool)0, long, long, void (*)(long&, long)>",0.0119988,0.0119988,libBOSSVeloxEngine.so,"facebook::velox::functions::aggregate::SimpleNumericAggregate<long, long, long>::updateGroups<(bool)0, long, long, void (*)(long&, long)>(char**, facebook::velox::SelectivityVector const&, std::shared_ptr<facebook::velox::BaseVector> const&, void (*)(long&, long), bool)",SimpleNumericAggregate.h,0x27493a0
"facebook::velox::functions::aggregate::SimpleNumericAggregate<double, double, double>::updateGroups<(bool)0, double, double, void (*)(double&, double)>",0.0239991,0,libBOSSVeloxEngine.so,"facebook::velox::functions::aggregate::SimpleNumericAggregate<double, double, double>::updateGroups<(bool)0, double, double, void (*)(double&, double)>(char**, facebook::velox::SelectivityVector const&, std::shared_ptr<facebook::velox::BaseVector> const&, void (*)(double&, double), bool)",SimpleNumericAggregate.h,0x276ad20
"facebook::velox::functions::(anonymous namespace)::ComparisonSimdFunction<std::greater<void>, xsimd::fma3<xsimd::avx2>>::apply(facebook::velox::SelectivityVector const&, std::vector<std::shared_ptr<facebook::velox::BaseVector>, std::allocator<std::shared_ptr<facebook::velox::BaseVector>>>&, std::shared_ptr<facebook::velox::Type const> const&, facebook::velox::exec::EvalCtx&, std::shared_ptr<facebook::velox::BaseVector>&) const::{lambda()#1}::operator()",0.0399704,0.0200087,libBOSSVeloxEngine.so,"facebook::velox::functions::(anonymous namespace)::ComparisonSimdFunction<std::greater<void>, xsimd::fma3<xsimd::avx2>>::apply(facebook::velox::SelectivityVector const&, std::vector<std::shared_ptr<facebook::velox::BaseVector>, std::allocator<std::shared_ptr<facebook::velox::BaseVector>>>&, std::shared_ptr<facebook::velox::Type const> const&, facebook::velox::exec::EvalCtx&, std::shared_ptr<facebook::velox::BaseVector>&) const::{lambda()#1}::operator()(void) const",Comparisons.cpp,0x3ddd360
"facebook::velox::functions::(anonymous namespace)::ComparisonSimdFunction<std::greater<void>, xsimd::fma3<xsimd::avx2>>::apply",0.0399704,0,libBOSSVeloxEngine.so,"facebook::velox::functions::(anonymous namespace)::ComparisonSimdFunction<std::greater<void>, xsimd::fma3<xsimd::avx2>>::apply(facebook::velox::SelectivityVector const&, std::vector<std::shared_ptr<facebook::velox::BaseVector>, std::allocator<std::shared_ptr<facebook::velox::BaseVector>>>&, std::shared_ptr<facebook::velox::Type const> const&, facebook::velox::exec::EvalCtx&, std::shared_ptr<facebook::velox::BaseVector>&) const",Comparisons.cpp,0x3ddc7d0
facebook::velox::FlatVector<long>::copyValuesAndNulls,0.0200043,0.0200043,libBOSSVeloxEngine.so,"facebook::velox::FlatVector<long>::copyValuesAndNulls(facebook::velox::BaseVector const*, facebook::velox::SelectivityVector const&, int const*)",FlatVector-inl.h,0x1e0bad0
facebook::velox::FlatVector<int>::valueAt,0.0200069,0.0200069,libBOSSVeloxEngine.so,facebook::velox::FlatVector<int>::valueAt(int) const,FlatVector-inl.h,0x1ded910
